trialnum	subject	basicShape	numObjects	speed	initialDirRing0	orderCorrect	trialDurTotal	numTargets	whichIsTargetEachRing0	whichIsTargetEachRing1	whichIsTargetEachRing2	ringToQuery	Direction0	Direction1	Direction2	respAdj0	respAdj1	respAdj2	rev0_0	rev0_1	rev0_2	rev0_3	rev1_0	rev1_1	rev1_2	rev1_3	rev2_0	rev2_1	rev2_2	rev2_3	timingBlips
0	jia1	circle	4	0.65	-1	3 	 2.3762418843397084 	 2 	 1.0	3.0	-999.0	0	-1	1	-1	-0.0	-999	-999	1.5894 	2.2971 	3.3658 	-999	2.3157 	3.1651 	-999	-999	1.5625 	2.4552 	3.8261 	-999	65
1	jia1	circle	8	0.29	-1	3 	 2.1766689075847965 	 2 	 6.0	1.0	-999.0	0	-1	1	-1	-0.0	-999	-999	2.3206 	-999	-999	-999	2.0681 	2.9003 	-999	-999	2.2819 	-999	-999	-999	121
2	jia1	circle	8	0.17	1	3 	 2.2369576048660256 	 2 	 5.0	-999.0	0.0	2	1	-1	-1	-999	-999	0.0	1.5771 	2.4063 	-999	-999	1.6229 	2.8274 	-999	-999	1.5019 	2.3826 	-999	-999	126
3	jia1	circle	4	0.48	1	3 	 2.5265839277350666 	 3 	 1.0	0.0	2.0	1	1	-1	-1	-999	0.0	-999	1.9499 	3.1765 	-999	-999	2.4743 	3.5472 	-999	-999	2.2151 	3.6815 	-999	-999	73
4	jia1	circle	8	0.42	1	3 	 2.210191538160565 	 3 	 1.0	1.0	3.0	2	1	-1	-1	-999	-999	-0.0	2.334 	-999	-999	-999	1.7374 	2.6218 	-999	-999	2.4625 	-999	-999	-999	124
5	jia1	circle	4	0.37	1	3 	 2.7864815487688053 	 3 	 3.0	1.0	2.0	0	1	-1	-1	-0.0	-999	-999	2.3377 	3.4572 	-999	-999	1.5427 	2.6887 	3.5025 	-999	1.9033 	2.9312 	-999	-999	81
6	jia1	circle	8	0.42	-1	3 	 2.0825948470527327 	 2 	 2.0	2.0	-999.0	0	-1	1	-1	0.0	-999	-999	1.7933 	2.7114 	-999	-999	2.0749 	3.1576 	-999	-999	1.8615 	2.4317 	-999	-999	116
7	jia1	circle	4	0.45	1	3 	 2.501779195854811 	 2 	 3.0	0.0	-999.0	0	1	-1	-1	-0.0	-999	-999	1.7739 	2.5086 	3.898 	-999	2.1408 	2.8546 	-999	-999	1.6247 	2.6627 	-999	-999	73
8	jia1	circle	8	0.55	1	3 	 2.7050406851233824 	 2 	 6.0	4.0	-999.0	1	1	-1	-1	-999	0.0	-999	1.5411 	2.9043 	-999	-999	1.8577 	3.1872 	-999	-999	1.8925 	3.1487 	-999	-999	151
9	jia1	circle	4	0.26	1	3 	 2.1187952688967897 	 3 	 2.0	1.0	1.0	2	1	-1	-1	-999	-999	0.0	1.5748 	2.0924 	3.0761 	-999	1.5315 	2.4861 	-999	-999	1.9447 	2.6837 	-999	-999	61
10	jia1	circle	4	0.26	-1	3 	 2.052736146726388 	 2 	 0.0	0.0	-999.0	1	-1	1	-1	-999	0.0	-999	2.4662 	-999	-999	-999	2.4947 	-999	-999	-999	2.0373 	2.9156 	-999	-999	59
11	jia1	circle	8	0.32	1	3 	 2.656788107381846 	 3 	 1.0	3.0	4.0	2	1	-1	-1	-999	-999	0.0	1.7602 	2.3865 	3.6001 	-999	2.2001 	3.1565 	-999	-999	1.8525 	2.7199 	4.1717 	-999	148
12	jia1	circle	4	0.26	1	0 	 2.569103664170605 	 2 	 0.0	2.0	3.0	2	1	-1	-1	-999	-999	-1.0	2.3618 	3.6227 	-999	-999	2.0544 	3.2575 	-999	-999	2.3386 	2.8873 	-999	-999	74
13	jia1	circle	8	0.22	1	3 	 2.2943303727168334 	 3 	 6.0	5.0	3.0	2	1	-1	-1	-999	-999	-0.0	2.4341 	-999	-999	-999	2.2279 	3.6015 	-999	-999	1.6897 	2.2438 	2.9661 	-999	128
14	jia1	circle	8	0.17	-1	0 	 2.3827105112013607 	 2 	 1.0	-999.0	7.0	0	-1	1	-1	1.0	-999	-999	2.4359 	3.5304 	-999	-999	1.6447 	2.8172 	-999	-999	1.8456 	2.3888 	3.1969 	-999	134
15	jia1	circle	4	0.15	-1	3 	 2.69423171699223 	 3 	 1.0	0.0	1.0	0	-1	1	-1	0.0	-999	-999	2.0992 	3.0693 	-999	-999	1.5154 	2.4825 	3.0631 	-999	1.8066 	2.9208 	-999	-999	82
16	jia1	circle	4	0.85	-1	3 	 2.59012769319492 	 2 	 0.0	0.0	-999.0	1	-1	1	-1	-999	0.0	-999	1.8768 	3.1113 	-999	-999	1.6028 	2.5042 	3.8632 	-999	1.5741 	2.8778 	-999	-999	74
17	jia1	circle	8	0.55	-1	3 	 2.0711507671601983 	 2 	 2.0	4.0	5.0	2	-1	1	-1	-999	-999	0.0	1.6625 	2.2363 	-999	-999	1.8038 	2.4329 	-999	-999	1.9815 	3.4797 	-999	-999	116
18	jia1	circle	4	0.45	-1	3 	 2.468468019405848 	 2 	 3.0	3.0	0.0	1	-1	1	-1	-999	-0.0	-999	2.006 	2.8354 	-999	-999	1.7641 	2.9749 	-999	-999	1.6164 	2.2694 	3.6769 	-999	71
19	jia1	circle	4	0.15	1	3 	 2.3003574287337245 	 3 	 2.0	1.0	3.0	2	1	-1	-1	-999	-999	0.0	1.7818 	2.4205 	-999	-999	1.6452 	2.7073 	-999	-999	2.1699 	3.1349 	-999	-999	66
20	jia1	circle	8	0.22	-1	3 	 2.343981420513975 	 3 	 4.0	0.0	1.0	0	-1	1	-1	0.0	-999	-999	1.7765 	2.4208 	2.9655 	-999	1.6832 	2.3529 	3.8096 	-999	1.8627 	2.6278 	-999	-999	131
