trialnum	subject	basicShape	numObjects	speed	initialDirRing0	orderCorrect	trialDurTotal	numTargets	whichIsTargetEachRing0	whichIsTargetEachRing1	whichIsTargetEachRing2	ringToQuery	Direction0	Direction1	Direction2	respAdj0	respAdj1	respAdj2	rev0_0	rev0_1	rev0_2	rev0_3	rev1_0	rev1_1	rev1_2	rev1_3	rev2_0	rev2_1	rev2_2	rev2_3	timingBlips
0	lor2	circle	4	0.47	1	3 	 2.509541867220393 	 2 	 2.0	1.0	-999.0	1	1	-1	-1	-999	0.0	-999	1.6332 	2.8285 	-999	-999	1.8783 	3.1369 	-999	-999	1.7623 	2.3278 	3.1855 	-999	83
1	lor2	circle	8	0.12	-1	3 	 2.343046016024192 	 3 	 7.0	1.0	0.0	0	-1	1	-1	0.0	-999	-999	2.1142 	3.0045 	-999	-999	2.161 	3.054 	-999	-999	1.6141 	2.2734 	3.6675 	-999	124
2	lor2	circle	8	0.16	1	3 	 2.5829909104197544 	 2 	 2.0	-999.0	1.0	2	1	-1	-1	-999	-999	0.0	1.6564 	2.3128 	3.6519 	-999	2.4198 	3.4916 	-999	-999	2.0362 	3.1818 	-999	-999	109
3	lor2	circle	4	0.87	-1	3 	 2.7572215259158703 	 2 	 3.0	-999.0	0.0	2	-1	1	-1	-999	-999	0.0	2.0565 	2.959 	-999	-999	2.2112 	2.7268 	3.4177 	-999	2.102 	3.3381 	-999	-999	132
4	lor2	circle	8	0.22	1	3 	 2.53114166958258 	 3 	 2.0	5.0	0.0	1	1	-1	-1	-999	0.0	-999	1.6085 	2.5638 	3.7929 	-999	1.8523 	2.5917 	3.757 	-999	1.7891 	3.2393 	-999	-999	130
5	lor2	circle	8	0.51	-1	3 	 2.676564845242697 	 2 	 3.0	4.0	-999.0	1	-1	1	-1	-999	-0.0	-999	1.5748 	2.4218 	3.1866 	-999	2.333 	3.7999 	-999	-999	2.3477 	3.1245 	-999	-999	143
6	lor2	circle	4	0.72	-1	3 	 2.6941308355734996 	 3 	 2.0	3.0	1.0	1	-1	1	-1	-999	-0.0	-999	1.5076 	2.571 	3.6757 	-999	1.9923 	3.0359 	-999	-999	1.813 	2.5185 	3.2968 	-999	79
7	lor2	circle	4	0.67	-1	3 	 2.7692941595066856 	 2 	 0.0	-999.0	3.0	2	-1	1	-1	-999	-999	-0.0	2.1403 	2.9968 	-999	-999	1.9849 	2.6136 	4.0644 	-999	1.9141 	2.512 	3.9789 	-999	79
8	lor2	circle	8	0.39	-1	0 	 2.654782988748247 	 2 	 -999.0	6.0	0.0	2	-1	1	-1	-999	-999	-2.0	1.8447 	2.9295 	-999	-999	1.5782 	2.9286 	-999	-999	1.8339 	2.49 	3.421 	-999	146
9	lor2	circle	8	0.22	-1	0 	 2.6104812272786235 	 3 	 6.0	0.0	5.0	2	-1	1	-1	-999	-999	-1.0	1.8491 	2.601 	3.533 	-999	1.5674 	2.7744 	-999	-999	1.895 	2.9308 	-999	-999	142
10	lor2	circle	8	0.31	-1	0 	 2.237582543918803 	 3 	 4.0	0.0	2.0	0	-1	1	-1	1.0	-999	-999	2.2536 	2.8388 	-999	-999	1.7634 	2.361 	-999	-999	1.677 	2.481 	-999	-999	123
11	lor2	circle	4	0.87	1	0 	 2.184918525972939 	 2 	 3.0	0.0	3.0	1	1	-1	-1	-999	1.0	-999	1.5986 	3.0732 	-999	-999	2.0003 	2.8813 	-999	-999	1.6471 	2.9275 	-999	-999	63
12	lor2	circle	8	0.12	1	3 	 2.1445967135759414 	 3 	 7.0	6.0	0.0	0	1	-1	-1	-0.0	-999	-999	1.6087 	2.3916 	-999	-999	2.4933 	-999	-999	-999	1.865 	3.185 	-999	-999	117
13	lor2	circle	4	0.55	-1	0 	 2.1144807075561554 	 3 	 0.0	1.0	2.0	2	-1	1	-1	-999	-999	-1.0	1.7554 	2.3945 	-999	-999	1.8295 	2.3848 	-999	-999	1.5524 	2.3549 	-999	-999	63
14	lor2	circle	4	0.72	1	0 	 2.7202782730544426 	 3 	 0.0	2.0	3.0	2	1	-1	-1	-999	-999	-1.0	1.7065 	2.4235 	3.4322 	-999	2.0358 	3.3303 	-999	-999	2.112 	3.5131 	-999	-999	80
15	lor2	circle	4	0.22	1	3 	 2.0137126953546223 	 3 	 3.0	3.0	2.0	2	1	-1	-1	-999	-999	0.0	1.6008 	3.0359 	-999	-999	2.2966 	-999	-999	-999	1.5751 	3.0435 	-999	-999	57
16	lor2	circle	4	0.22	-1	3 	 2.142838527794669 	 3 	 0.0	3.0	1.0	0	-1	1	-1	0.0	-999	-999	1.5119 	2.7501 	-999	-999	2.4599 	-999	-999	-999	2.0745 	2.7252 	-999	-999	63
17	lor2	circle	8	0.51	1	3 	 2.702097724717811 	 2 	 6.0	4.0	4.0	0	1	-1	-1	0.0	-999	-999	1.5349 	2.2602 	3.1208 	-999	1.6789 	2.3284 	3.2098 	-999	2.2175 	2.8178 	-999	-999	150
18	lor2	circle	4	0.27	1	0 	 2.676479014539059 	 2 	 -999.0	1.0	2.0	2	1	-1	-1	-999	-999	1.0	1.6831 	2.7536 	3.7561 	-999	2.094 	2.9368 	-999	-999	1.6922 	2.959 	-999	-999	78
