trialnum	subject	basicShape	numObjects	speed	initialDirRing0	orderCorrect	trialDurTotal	numTargets	whichIsTargetEachRing0	whichIsTargetEachRing1	whichIsTargetEachRing2	ringToQuery	Direction0	Direction1	Direction2	respAdj0	respAdj1	respAdj2	rev0_0	rev0_1	rev0_2	rev0_3	rev1_0	rev1_1	rev1_2	rev1_3	rev2_0	rev2_1	rev2_2	rev2_3	timingBlips
0	yu1	circle	8	0.3	1	3 	 2.1844248731001015 	 2 	 -999.0	7.0	5.0	1	1	-1	-1	-999	0.0	-999	2.045 	3.0988 	-999	-999	1.6266 	2.3912 	-999	-999	1.7903 	2.5095 	-999	-999	90
1	yu1	circle	8	0.3	1	3 	 2.0283176480782084 	 3 	 0.0	1.0	3.0	2	1	-1	-1	-999	-999	0.0	1.5632 	2.5508 	-999	-999	2.494 	-999	-999	-999	1.6865 	2.3413 	-999	-999	83
2	yu1	circle	8	0.4	1	3 	 2.037950333092424 	 2 	 1.0	-999.0	4.0	0	1	-1	-1	-0.0	-999	-999	1.9435 	2.5834 	-999	-999	1.9987 	3.0567 	-999	-999	1.8669 	3.3293 	-999	-999	83
3	yu1	circle	4	0.5	-1	3 	 2.3937486974833333 	 2 	 3.0	-999.0	0.0	0	-1	1	-1	-0.0	-999	-999	2.4264 	3.6163 	-999	-999	2.2716 	3.4408 	-999	-999	2.2097 	3.0743 	-999	-999	139
4	yu1	circle	4	0.5	1	3 	 2.487292501148298 	 2 	 2.0	3.0	0.0	1	1	-1	-1	-999	0.0	-999	2.3668 	3.3957 	-999	-999	2.3536 	3.1272 	-999	-999	2.3896 	3.3215 	-999	-999	144
5	yu1	circle	4	0.2	1	3 	 2.710370850440499 	 3 	 3.0	1.0	2.0	2	1	-1	-1	-999	-999	0.0	2.2968 	3.4359 	-999	-999	1.9498 	2.7981 	3.3318 	-999	2.0287 	3.0606 	-999	-999	153
6	yu1	circle	8	0.4	-1	3 	 2.1306886638624087 	 3 	 2.0	6.0	2.0	0	-1	1	-1	-0.0	-999	-999	2.1662 	2.993 	-999	-999	2.1398 	3.496 	-999	-999	1.555 	2.7393 	-999	-999	86
7	yu1	circle	4	0.2	-1	3 	 2.5494537571288376 	 2 	 3.0	2.0	-999.0	0	-1	1	-1	0.0	-999	-999	2.2866 	3.4167 	-999	-999	2.0271 	2.6525 	-999	-999	2.3691 	3.5564 	-999	-999	147
8	yu1	circle	8	0.3	-1	3 	 2.6878965726977064 	 2 	 -999.0	3.0	7.0	1	-1	1	-1	-999	-0.0	-999	1.529 	2.7678 	4.1319 	-999	2.4402 	3.0406 	-999	-999	1.6627 	2.6908 	4.0358 	-999	111
9	yu1	circle	8	0.4	-1	3 	 2.1222257314404427 	 2 	 7.0	4.0	4.0	1	-1	1	-1	-999	0.0	-999	1.8232 	2.6416 	-999	-999	2.3419 	-999	-999	-999	1.7177 	2.2765 	-999	-999	87
10	yu1	circle	4	0.5	1	3 	 2.5633778457389678 	 3 	 1.0	1.0	2.0	0	1	-1	-1	-0.0	-999	-999	2.3467 	3.0675 	-999	-999	2.1082 	3.2514 	-999	-999	2.123 	3.4424 	-999	-999	148
11	yu1	circle	8	0.3	-1	3 	 2.6587655265973584 	 3 	 4.0	3.0	6.0	2	-1	1	-1	-999	-999	-0.0	1.9264 	2.949 	-999	-999	1.6479 	3.0042 	-999	-999	1.659 	2.5149 	3.5763 	-999	111
