trialnum	subject	basicShape	numObjects	speed	initialDirRing0	orderCorrect	trialDurTotal	numTargets	whichIsTargetEachRing0	whichIsTargetEachRing1	whichIsTargetEachRing2	ringToQuery	Direction0	Direction1	Direction2	respAdj0	respAdj1	respAdj2	rev0_0	rev0_1	rev0_2	rev0_3	rev1_0	rev1_1	rev1_2	rev1_3	rev2_0	rev2_1	rev2_2	rev2_3	timingBlips
0	yue4	circle	8	0.2	1	3 	 2.5052689206335654 	 3 	 0.0	5.0	4.0	2	1	-1	-1	-999	-999	0.0	2.1512 	3.5912 	-999	-999	1.7848 	3.1679 	-999	-999	1.9852 	3.2995 	-999	-999	128
1	yue4	circle	4	0.38	1	3 	 2.672661886297764 	 2 	 0.0	-999.0	2.0	0	1	-1	-1	0.0	-999	-999	1.6078 	2.151 	3.5072 	-999	1.8018 	2.7736 	-999	-999	2.2683 	2.977 	-999	-999	72
2	yue4	circle	4	0.67	1	3 	 2.694874147676473 	 2 	 0.0	1.0	-999.0	0	1	-1	-1	-0.0	-999	-999	2.4638 	3.2041 	-999	-999	1.9009 	2.7782 	3.3861 	-999	2.45 	2.954 	-999	-999	74
3	yue4	circle	4	0.67	-1	3 	 2.307787511580684 	 2 	 0.0	1.0	3.0	2	-1	1	-1	-999	-999	0.0	2.3518 	2.8704 	-999	-999	1.856 	2.6042 	-999	-999	1.5881 	2.8675 	-999	-999	62
4	yue4	circle	8	0.65	-1	0 	 2.7252806302207504 	 3 	 2.0	0.0	3.0	2	-1	1	-1	-999	-999	1.0	2.3793 	3.6991 	-999	-999	1.6933 	2.8897 	-999	-999	2.1899 	3.5402 	-999	-999	145
5	yue4	circle	4	0.72	1	3 	 2.353505293949216 	 3 	 3.0	3.0	0.0	1	1	-1	-1	-999	-0.0	-999	1.5153 	2.1262 	3.0915 	-999	1.6853 	2.3189 	3.5408 	-999	2.0866 	2.9421 	-999	-999	64
6	yue4	circle	8	0.91	-1	3 	 2.1145878285539275 	 2 	 -999.0	4.0	3.0	2	-1	1	-1	-999	-999	0.0	2.3357 	-999	-999	-999	2.2608 	-999	-999	-999	2.0798 	3.17 	-999	-999	111
7	yue4	circle	4	0.94	1	3 	 2.3124682868886475 	 3 	 0.0	2.0	3.0	0	1	-1	-1	-0.0	-999	-999	1.8367 	3.1138 	-999	-999	2.0183 	3.2297 	-999	-999	1.9357 	2.8679 	-999	-999	63
8	yue4	circle	4	1.25	1	3 	 2.717435483261252 	 2 	 2.0	-999.0	3.0	2	1	-1	-1	-999	-999	-0.0	1.9052 	2.7825 	3.4645 	-999	1.71 	2.7655 	3.8733 	-999	1.8796 	2.5132 	3.9292 	-999	74
9	yue4	circle	8	0.49	-1	3 	 2.6484328863838402 	 2 	 1.0	-999.0	2.0	2	-1	1	-1	-999	-999	0.0	2.2615 	3.6522 	-999	-999	1.8426 	2.9447 	-999	-999	1.5567 	2.6804 	3.9046 	-999	140
10	yue4	circle	8	0.5	-1	3 	 2.470915549610697 	 3 	 6.0	5.0	5.0	1	-1	1	-1	-999	-0.0	-999	2.3555 	3.7236 	-999	-999	1.8399 	3.2767 	-999	-999	1.8183 	3.2145 	-999	-999	130
11	yue4	circle	4	0.5	1	3 	 2.367345225510106 	 3 	 2.0	1.0	1.0	1	1	-1	-1	-999	-0.0	-999	2.4804 	-999	-999	-999	2.4871 	-999	-999	-999	1.8631 	3.3209 	-999	-999	65
