trialnum	subject	basicShape	numObjects	speed	initialDirRing0	orderCorrect	trialDurTotal	numTargets	whichIsTargetEachRing0	whichIsTargetEachRing1	whichIsTargetEachRing2	ringToQuery	Direction0	Direction1	Direction2	respAdj0	respAdj1	respAdj2	rev0_0	rev0_1	rev0_2	rev0_3	rev1_0	rev1_1	rev1_2	rev1_3	rev2_0	rev2_1	rev2_2	rev2_3	timingBlips
0	A12a	circle	4	0.29	-1	3 	 2.1100967312968852 	 2 	 1.0	-999.0	3.0	2	-1	1	-1	-999	-999	0.0	2.2753 	-999	-999	-999	1.5208 	2.1604 	3.2138 	-999	1.5832 	2.7873 	-999	-999	56
1	A12a	circle	8	0.28	-1	3 	 2.4367431032254654 	 3 	 4.0	0.0	6.0	2	-1	1	-1	-999	-999	0.0	2.0656 	2.8154 	-999	-999	2.2269 	2.9005 	-999	-999	1.6099 	2.9422 	-999	-999	126
2	A12a	circle	4	0.73	-1	3 	 2.3912570196418264 	 2 	 1.0	-999.0	0.0	2	-1	1	-1	-999	-999	0.0	2.2904 	3.6876 	-999	-999	1.5988 	2.1975 	2.9344 	-999	2.3167 	3.4798 	-999	-999	66
3	A12a	circle	8	0.17	-1	3 	 2.454679211526298 	 2 	 6.0	-999.0	7.0	0	-1	1	-1	0.0	-999	-999	1.9942 	3.1046 	-999	-999	1.9147 	2.5649 	-999	-999	2.3199 	3.3291 	-999	-999	120
4	A12a	circle	4	0.73	1	3 	 2.5284857558861584 	 2 	 1.0	1.0	0.0	1	1	-1	-1	-999	0.0	-999	2.2641 	3.5006 	-999	-999	2.432 	3.7023 	-999	-999	1.6865 	2.366 	3.3168 	-999	69
5	A12a	circle	4	0.95	1	3 	 2.4613411233193 	 2 	 -999.0	1.0	1.0	1	1	-1	-1	-999	0.0	-999	1.6894 	2.9994 	-999	-999	2.1069 	3.4266 	-999	-999	1.5814 	2.5881 	-999	-999	67
6	A12a	circle	8	0.29	-1	3 	 2.3811332497303 	 2 	 0.0	-999.0	0.0	2	-1	1	-1	-999	-999	-0.0	1.5217 	2.1116 	3.5865 	-999	2.3243 	3.6913 	-999	-999	2.4839 	-999	-999	-999	124
7	A12a	circle	4	0.58	-1	3 	 2.297695503564707 	 3 	 1.0	3.0	0.0	0	-1	1	-1	0.0	-999	-999	1.8662 	2.9572 	-999	-999	2.3073 	3.1806 	-999	-999	2.0023 	3.4321 	-999	-999	58
8	A12a	circle	4	0.23	-1	3 	 2.339703473388163 	 3 	 1.0	0.0	0.0	1	-1	1	-1	-999	-0.0	-999	1.6114 	2.7339 	-999	-999	2.0283 	2.6256 	-999	-999	2.3808 	3.3011 	-999	-999	56
9	A12a	circle	8	0.16	-1	3 	 2.6448545701020576 	 3 	 3.0	2.0	5.0	0	-1	1	-1	0.0	-999	-999	1.5875 	3.0219 	-999	-999	1.6835 	3.134 	-999	-999	1.7879 	2.6624 	4.1434 	-999	132
10	A12a	circle	8	0.17	1	3 	 2.3846819976364992 	 2 	 7.0	7.0	7.0	1	1	-1	-1	-999	0.0	-999	1.5718 	2.7956 	-999	-999	2.2492 	2.9693 	-999	-999	2.3351 	3.6392 	-999	-999	125
11	A12a	circle	8	0.55	1	3 	 2.3438069698638113 	 2 	 -999.0	6.0	6.0	1	1	-1	-1	-999	0.0	-999	2.2465 	2.8298 	-999	-999	1.8183 	2.6627 	-999	-999	1.9822 	3.0877 	-999	-999	122
12	A12a	circle	4	0.51	1	3 	 2.7353521708487407 	 2 	 -999.0	3.0	2.0	2	1	-1	-1	-999	-999	0.0	1.6411 	2.4113 	3.358 	-999	2.227 	3.451 	-999	-999	2.2305 	2.7973 	4.0704 	-999	74
13	A12a	circle	8	0.4	-1	3 	 2.6286567993676755 	 3 	 4.0	1.0	3.0	1	-1	1	-1	-999	-0.0	-999	2.2786 	3.5027 	-999	-999	2.4288 	3.142 	-999	-999	1.9361 	2.9098 	-999	-999	135
14	A12a	circle	8	0.55	-1	3 	 2.657154842693865 	 2 	 1.0	3.0	6.0	1	-1	1	-1	-999	-0.0	-999	2.2128 	3.5456 	-999	-999	2.1607 	3.4532 	-999	-999	2.2333 	3.5447 	-999	-999	139
15	A12a	circle	4	0.75	-1	3 	 2.708344580284757 	 3 	 3.0	0.0	3.0	0	-1	1	-1	-0.0	-999	-999	1.6082 	2.518 	3.1764 	-999	2.4745 	3.0739 	-999	-999	2.3804 	3.565 	-999	-999	74
16	A12a	circle	4	0.29	1	3 	 2.608445186510044 	 2 	 2.0	-999.0	0.0	0	1	-1	-1	-0.0	-999	-999	2.3345 	3.7414 	-999	-999	2.1315 	2.6976 	3.931 	-999	1.7483 	2.939 	-999	-999	72
17	A12a	circle	8	0.29	1	3 	 2.297057243979057 	 2 	 2.0	-999.0	3.0	0	1	-1	-1	-0.0	-999	-999	2.0168 	3.4483 	-999	-999	1.5639 	2.5362 	-999	-999	2.0651 	2.6207 	-999	-999	119
18	A12a	circle	8	0.52	-1	3 	 2.0071384136063535 	 3 	 5.0	7.0	6.0	2	-1	1	-1	-999	-999	0.0	2.2365 	-999	-999	-999	1.5186 	2.3529 	-999	-999	1.9159 	2.7858 	-999	-999	104
19	A12a	circle	8	0.16	1	3 	 2.1995199967426067 	 3 	 3.0	3.0	5.0	2	1	-1	-1	-999	-999	0.0	1.8152 	2.9478 	-999	-999	1.5477 	2.5203 	-999	-999	2.0266 	3.1908 	-999	-999	112
20	A12a	circle	4	0.51	-1	3 	 2.08704217851015 	 2 	 1.0	3.0	3.0	2	-1	1	-1	-999	-999	0.0	1.5552 	3.0323 	-999	-999	1.7769 	2.4614 	-999	-999	1.5434 	2.54 	-999	-999	55
21	A12a	circle	4	0.75	1	3 	 2.6857731281199366 	 3 	 1.0	0.0	0.0	1	1	-1	-1	-999	0.0	-999	2.376 	2.9787 	-999	-999	2.0476 	3.1863 	-999	-999	2.1559 	3.5239 	-999	-999	74
22	A12a	circle	8	0.52	1	3 	 2.7308799650409163 	 3 	 3.0	3.0	5.0	1	1	-1	-1	-999	0.0	-999	1.7999 	3.0839 	-999	-999	2.4126 	3.2959 	-999	-999	1.7569 	2.8679 	-999	-999	142
23	A12a	circle	8	0.28	1	3 	 2.2025483242297454 	 3 	 2.0	7.0	3.0	0	1	-1	-1	-0.0	-999	-999	2.1638 	3.1306 	-999	-999	1.7105 	2.2115 	3.4412 	-999	1.9683 	3.2794 	-999	-999	113
24	A12a	circle	8	0.42	-1	3 	 2.4963762065827706 	 2 	 4.0	0.0	-999.0	0	-1	1	-1	0.0	-999	-999	2.1563 	3.0134 	-999	-999	1.7666 	2.8532 	-999	-999	2.3461 	3.1311 	-999	-999	130
25	A12a	circle	4	0.23	1	3 	 2.7532483510833954 	 3 	 1.0	2.0	3.0	2	1	-1	-1	-999	-999	0.0	1.7691 	2.9394 	-999	-999	2.2582 	3.3206 	-999	-999	2.0588 	3.1865 	-999	-999	76
26	A12a	circle	4	0.95	-1	3 	 2.2010948525746485 	 2 	 -999.0	0.0	0.0	2	-1	1	-1	-999	-999	0.0	1.7541 	2.6926 	-999	-999	2.0939 	3.4283 	-999	-999	1.7707 	2.5834 	-999	-999	58
27	A12a	circle	8	0.42	1	3 	 2.0647989504049535 	 2 	 5.0	0.0	0.0	0	1	-1	-1	0.0	-999	-999	2.0775 	3.2278 	-999	-999	2.283 	-999	-999	-999	2.4399 	-999	-999	-999	106
28	A12a	circle	4	0.58	1	3 	 2.255013730844207 	 3 	 3.0	2.0	0.0	0	1	-1	-1	-0.0	-999	-999	1.8069 	2.7781 	-999	-999	1.5118 	2.4163 	-999	-999	1.6014 	2.1135 	3.3923 	-999	60
29	A12a	circle	4	0.41	1	3 	 2.3235771468092166 	 3 	 2.0	0.0	1.0	0	1	-1	-1	-0.0	-999	-999	2.056 	3.0428 	-999	-999	1.7503 	2.301 	3.4106 	-999	1.9635 	3.2729 	-999	-999	64
30	A12a	circle	8	0.4	1	3 	 2.763907728164509 	 3 	 2.0	7.0	1.0	2	1	-1	-1	-999	-999	-0.0	1.8014 	2.3491 	3.4436 	-999	2.425 	3.7751 	-999	-999	1.66 	2.2512 	3.452 	-999	145
31	A12a	circle	4	0.41	-1	3 	 2.716386708241314 	 3 	 1.0	2.0	3.0	2	-1	1	-1	-999	-999	-0.0	1.7644 	3.18 	-999	-999	1.5535 	2.2569 	3.5393 	-999	1.9753 	2.5097 	3.5781 	-999	78
32	A12a	circle	4	0.75	1	3 	 2.4935463103336444 	 3 	 3.0	3.0	1.0	2	1	-1	-1	-999	-999	0.0	2.4488 	3.1537 	-999	-999	2.498 	3.9965 	-999	-999	1.5222 	2.9282 	-999	-999	66
33	A12a	circle	8	0.52	1	3 	 2.3688950204434978 	 3 	 0.0	6.0	6.0	2	1	-1	-1	-999	-999	-0.0	2.4204 	3.3416 	-999	-999	2.4504 	3.3671 	-999	-999	1.7152 	2.2374 	3.1114 	-999	122
34	A12a	circle	4	0.95	-1	0 	 2.6017895036388543 	 2 	 1.0	0.0	0.0	0	-1	1	-1	-1.0	-999	-999	1.924 	2.4299 	3.2288 	-999	2.3474 	3.3202 	-999	-999	1.7389 	2.3976 	3.4222 	-999	69
35	A12a	circle	8	0.4	1	3 	 2.013704672603039 	 3 	 4.0	5.0	3.0	2	1	-1	-1	-999	-999	-0.0	1.8221 	2.3276 	-999	-999	1.8892 	2.6951 	-999	-999	2.3291 	-999	-999	-999	103
36	A12a	circle	8	0.42	-1	3 	 2.2698695510869746 	 2 	 5.0	0.0	6.0	2	-1	1	-1	-999	-999	0.0	2.496 	-999	-999	-999	1.5198 	3.0024 	-999	-999	2.0576 	3.4598 	-999	-999	117
37	A12a	circle	4	0.51	-1	3 	 2.2279792180999065 	 2 	 0.0	0.0	3.0	0	-1	1	-1	-0.0	-999	-999	2.445 	-999	-999	-999	2.2626 	3.6205 	-999	-999	2.4131 	-999	-999	-999	63
38	A12a	circle	4	0.51	1	3 	 2.144455071971893 	 2 	 3.0	0.0	1.0	2	1	-1	-1	-999	-999	0.0	2.3308 	-999	-999	-999	2.2737 	-999	-999	-999	1.8349 	3.1239 	-999	-999	59
39	A12a	circle	4	0.73	-1	3 	 2.582962618778275 	 2 	 1.0	0.0	1.0	2	-1	1	-1	-999	-999	-0.0	1.5813 	2.2433 	3.6155 	-999	2.2149 	2.7392 	-999	-999	1.5699 	2.5716 	3.616 	-999	70
40	A12a	circle	4	0.23	1	3 	 2.4635828553820747 	 3 	 1.0	2.0	2.0	2	1	-1	-1	-999	-999	0.0	1.5532 	2.354 	3.557 	-999	1.5171 	2.5739 	-999	-999	1.7638 	3.2573 	-999	-999	67
41	A12a	circle	8	0.55	1	3 	 2.1972545639000174 	 2 	 1.0	5.0	1.0	1	1	-1	-1	-999	-0.0	-999	2.3008 	-999	-999	-999	2.2517 	3.6697 	-999	-999	1.7277 	3.0131 	-999	-999	113
42	A12a	circle	4	0.41	1	3 	 2.1900029649019057 	 3 	 0.0	1.0	3.0	0	1	-1	-1	0.0	-999	-999	2.2016 	3.5785 	-999	-999	1.7932 	2.4361 	-999	-999	1.9434 	2.5021 	-999	-999	60
43	A12a	circle	8	0.16	1	3 	 2.15879954050078 	 3 	 7.0	0.0	0.0	1	1	-1	-1	-999	0.0	-999	2.0343 	2.6154 	-999	-999	1.7492 	3.0064 	-999	-999	1.9415 	3.002 	-999	-999	111
44	A12a	circle	4	0.75	-1	3 	 2.0978731849716006 	 3 	 0.0	2.0	0.0	0	-1	1	-1	0.0	-999	-999	1.8099 	3.2191 	-999	-999	2.2504 	-999	-999	-999	1.9132 	2.9368 	-999	-999	57
45	A12a	circle	4	0.29	1	3 	 2.5563673406718173 	 2 	 3.0	-999.0	3.0	2	1	-1	-1	-999	-999	0.0	1.5831 	3.0151 	-999	-999	2.1701 	3.1405 	-999	-999	2.3262 	3.2298 	-999	-999	68
46	A12a	circle	8	0.17	1	3 	 2.592572446036259 	 2 	 7.0	1.0	2.0	2	1	-1	-1	-999	-999	0.0	2.4228 	3.4969 	-999	-999	1.8921 	2.4288 	3.7647 	-999	1.9401 	3.3443 	-999	-999	135
47	A12a	circle	8	0.28	-1	3 	 2.1119881994662633 	 3 	 6.0	1.0	4.0	2	-1	1	-1	-999	-999	-0.0	1.5602 	3.0166 	-999	-999	1.8387 	3.2169 	-999	-999	2.2894 	-999	-999	-999	108
48	A12a	circle	8	0.42	1	3 	 2.0425799147504193 	 2 	 5.0	0.0	0.0	1	1	-1	-1	-999	0.0	-999	1.7576 	2.398 	-999	-999	1.7705 	2.3399 	-999	-999	1.9789 	2.8279 	-999	-999	103
49	A12a	circle	8	0.4	-1	3 	 2.2413342906788873 	 3 	 1.0	6.0	1.0	2	-1	1	-1	-999	-999	0.0	2.0365 	3.0387 	-999	-999	1.5299 	2.5477 	-999	-999	2.1988 	2.9066 	-999	-999	115
50	A12a	circle	8	0.29	1	3 	 2.3271407603636494 	 2 	 2.0	0.0	6.0	2	1	-1	-1	-999	-999	0.0	2.1047 	3.4588 	-999	-999	1.5212 	2.221 	3.0994 	-999	2.2902 	3.2902 	-999	-999	121
51	A12a	circle	4	0.41	-1	3 	 2.614139331124065 	 3 	 0.0	1.0	0.0	0	-1	1	-1	-0.0	-999	-999	1.7802 	2.5383 	3.186 	-999	1.6732 	2.9433 	-999	-999	2.4786 	3.1136 	-999	-999	68
52	A12a	circle	8	0.28	1	3 	 2.014418157407074 	 3 	 0.0	2.0	3.0	2	1	-1	-1	-999	-999	0.0	1.8867 	3.0323 	-999	-999	1.7082 	2.8219 	-999	-999	1.8202 	2.4398 	-999	-999	103
53	A12a	circle	4	0.58	-1	3 	 2.7733830209707295 	 3 	 1.0	2.0	2.0	0	-1	1	-1	0.0	-999	-999	2.4886 	3.553 	-999	-999	1.7797 	2.9468 	-999	-999	1.5308 	2.9556 	-999	-999	74
54	A12a	circle	4	0.29	-1	3 	 2.0988415787364616 	 2 	 3.0	3.0	3.0	1	-1	1	-1	-999	-0.0	-999	1.8828 	2.6934 	-999	-999	2.0374 	2.7416 	-999	-999	1.8496 	2.9833 	-999	-999	57
55	A12a	circle	4	0.73	1	3 	 2.63783512684337 	 2 	 1.0	2.0	1.0	1	1	-1	-1	-999	-0.0	-999	1.8295 	2.3505 	3.3163 	-999	1.766 	2.6036 	3.4969 	-999	1.5624 	2.2101 	3.566 	-999	68
56	A12a	circle	8	0.29	-1	3 	 2.365153725290683 	 2 	 2.0	5.0	1.0	2	-1	1	-1	-999	-999	0.0	2.4213 	3.6316 	-999	-999	1.9723 	3.2897 	-999	-999	2.2046 	3.2207 	-999	-999	122
57	A12a	circle	4	0.95	1	3 	 2.6333282552000337 	 2 	 2.0	0.0	0.0	0	1	-1	-1	-0.0	-999	-999	1.9395 	3.2783 	-999	-999	1.6887 	2.2506 	3.6118 	-999	1.5557 	2.2055 	3.6399 	-999	75
58	A12a	circle	4	0.58	1	3 	 2.7629942172500903 	 3 	 2.0	0.0	0.0	2	1	-1	-1	-999	-999	-0.0	2.2779 	2.7815 	3.3447 	-999	2.1516 	2.6565 	3.7705 	-999	1.5653 	2.6885 	3.4475 	-999	74
59	A12a	circle	4	0.23	-1	3 	 2.592557088318263 	 3 	 0.0	3.0	3.0	1	-1	1	-1	-999	-0.0	-999	2.401 	2.9704 	-999	-999	2.0914 	3.1591 	-999	-999	1.7606 	2.3552 	3.7659 	-999	69
60	A12a	circle	8	0.55	-1	0 	 2.093557005592465 	 2 	 1.0	7.0	4.0	2	-1	1	-1	-999	-999	1.0	2.2489 	-999	-999	-999	2.2149 	-999	-999	-999	1.9561 	3.3851 	-999	-999	107
61	A12a	circle	8	0.16	-1	3 	 2.2126298916973353 	 3 	 5.0	5.0	1.0	2	-1	1	-1	-999	-999	0.0	1.7016 	3.09 	-999	-999	2.1826 	2.8503 	-999	-999	1.6937 	2.5979 	-999	-999	113
62	A12a	circle	8	0.52	-1	3 	 2.312340603305265 	 3 	 5.0	2.0	2.0	2	-1	1	-1	-999	-999	0.0	1.7388 	2.7105 	-999	-999	2.414 	-999	-999	-999	1.9029 	3.0064 	-999	-999	119
63	A12a	circle	8	0.17	-1	3 	 2.7772136164070917 	 2 	 5.0	3.0	2.0	1	-1	1	-1	-999	-0.0	-999	1.7079 	2.2496 	2.9938 	-999	2.49 	3.8413 	-999	-999	1.7517 	2.3032 	3.6043 	-999	144
64	A12a	circle	8	0.42	-1	3 	 2.5224444672046986 	 2 	 2.0	0.0	4.0	0	-1	1	-1	0.0	-999	-999	2.1615 	2.7972 	-999	-999	2.3331 	3.7502 	-999	-999	2.1987 	2.7906 	-999	-999	130
65	A12a	circle	4	0.23	1	3 	 2.0262726260823802 	 3 	 0.0	1.0	1.0	0	1	-1	-1	-0.0	-999	-999	1.5619 	2.4806 	-999	-999	1.9544 	2.4973 	-999	-999	1.6354 	2.4365 	-999	-999	54
66	A12a	circle	8	0.29	-1	3 	 2.0210031508803254 	 2 	 2.0	5.0	6.0	1	-1	1	-1	-999	-0.0	-999	2.2427 	-999	-999	-999	1.8133 	3.2134 	-999	-999	1.6437 	2.7198 	-999	-999	102
67	A12a	circle	8	0.16	-1	3 	 2.6855260472468996 	 3 	 5.0	5.0	6.0	0	-1	1	-1	0.0	-999	-999	2.4292 	3.3404 	-999	-999	1.5223 	2.755 	3.3907 	-999	1.5556 	2.3555 	2.8758 	-999	134
68	A12a	circle	4	0.73	1	3 	 2.330216383539899 	 2 	 1.0	2.0	3.0	1	1	-1	-1	-999	-0.0	-999	1.6978 	2.7872 	-999	-999	1.564 	2.1577 	2.915 	-999	2.0274 	2.658 	-999	-999	53
69	A12a	circle	8	0.17	1	3 	 2.118371760132336 	 2 	 2.0	3.0	7.0	2	1	-1	-1	-999	-999	-0.0	2.4709 	-999	-999	-999	2.0157 	2.8664 	-999	-999	2.1852 	3.0708 	-999	-999	105
70	A12a	circle	8	0.4	-1	3 	 2.199735873970059 	 3 	 0.0	0.0	5.0	1	-1	1	-1	-999	-0.0	-999	1.7589 	2.6891 	-999	-999	1.863 	2.6511 	-999	-999	1.8875 	2.774 	-999	-999	111
