trialnum	subject	basicShape	numObjects	speed	initialDirRing0	orderCorrect	trialDurTotal	numTargets	whichIsTargetEachRing0	whichIsTargetEachRing1	whichIsTargetEachRing2	ringToQuery	Direction0	Direction1	Direction2	respAdj0	respAdj1	respAdj2	rev0_0	rev0_1	rev0_2	rev0_3	rev1_0	rev1_1	rev1_2	rev1_3	rev2_0	rev2_1	rev2_2	rev2_3	timingBlips
0	A12c	circle	4	0.51	-1	3 	 2.0896387259351235 	 2 	 0.0	-999.0	1.0	2	-1	1	-1	-999	-999	-0.0	2.0752 	2.9936 	-999	-999	2.4609 	-999	-999	-999	2.3544 	-999	-999	-999	56
1	A12c	circle	4	0.51	1	3 	 2.481105846791749 	 2 	 3.0	0.0	1.0	0	1	-1	-1	-0.0	-999	-999	2.0578 	3.3641 	-999	-999	1.6998 	3.1079 	-999	-999	1.53 	2.6796 	-999	-999	67
2	A12c	circle	8	0.55	-1	3 	 2.5129915713623534 	 2 	 2.0	-999.0	0.0	2	-1	1	-1	-999	-999	0.0	1.7509 	2.8823 	-999	-999	1.9473 	3.4291 	-999	-999	2.1825 	3.2792 	-999	-999	136
3	A12c	circle	4	0.75	1	3 	 2.433732902444829 	 3 	 0.0	3.0	2.0	1	1	-1	-1	-999	0.0	-999	1.9966 	3.2756 	-999	-999	2.2272 	3.6954 	-999	-999	2.3655 	3.8382 	-999	-999	69
4	A12c	circle	8	0.4	1	0 	 2.6687059651936478 	 3 	 0.0	5.0	1.0	0	1	-1	-1	1.0	-999	-999	2.184 	3.5702 	-999	-999	2.388 	3.1649 	-999	-999	1.6571 	2.8207 	-999	-999	139
5	A12c	circle	4	0.73	1	3 	 2.722304211003621 	 2 	 -999.0	0.0	2.0	2	1	-1	-1	-999	-999	0.0	2.0192 	3.2985 	-999	-999	1.9959 	2.6037 	3.8312 	-999	2.2703 	3.6986 	-999	-999	72
6	A12c	circle	8	0.29	1	3 	 2.370638720122147 	 2 	 -999.0	2.0	4.0	2	1	-1	-1	-999	-999	0.0	1.5225 	2.0624 	3.0469 	-999	2.4472 	3.3994 	-999	-999	1.5689 	2.6398 	-999	-999	126
7	A12c	circle	4	0.23	-1	3 	 2.672692854912069 	 3 	 0.0	0.0	2.0	2	-1	1	-1	-999	-999	0.0	2.1283 	2.9106 	-999	-999	2.3409 	3.2103 	-999	-999	1.8882 	3.1002 	-999	-999	75
8	A12c	circle	4	0.95	-1	3 	 2.0099854220794535 	 2 	 1.0	-999.0	3.0	0	-1	1	-1	0.0	-999	-999	1.5309 	2.3522 	-999	-999	1.7495 	3.2149 	-999	-999	1.9628 	2.5755 	-999	-999	56
9	A12c	circle	4	0.29	-1	3 	 2.7944783533755375 	 2 	 1.0	-999.0	2.0	2	-1	1	-1	-999	-999	0.0	2.1171 	3.2145 	-999	-999	1.6209 	2.512 	3.5698 	-999	2.4666 	3.2289 	-999	-999	82
10	A12c	circle	4	0.58	1	3 	 2.2666511818545527 	 3 	 3.0	1.0	3.0	0	1	-1	-1	-0.0	-999	-999	1.7858 	2.5884 	-999	-999	1.8444 	2.7102 	-999	-999	2.3906 	-999	-999	-999	68
11	A12c	circle	4	0.41	1	0 	 2.724349725917745 	 3 	 2.0	1.0	0.0	1	1	-1	-1	-999	2.0	-999	1.8292 	3.1951 	-999	-999	2.335 	2.9315 	-999	-999	1.6363 	2.8064 	3.4166 	-999	78
12	A12c	circle	4	0.41	-1	3 	 2.740028262871461 	 3 	 1.0	3.0	1.0	2	-1	1	-1	-999	-999	-0.0	2.1291 	2.8355 	4.2911 	-999	1.6622 	2.7661 	3.5815 	-999	1.9737 	2.6241 	3.334 	-999	77
13	A12c	circle	8	0.55	1	3 	 2.2712816902953605 	 2 	 4.0	5.0	0.0	1	1	-1	-1	-999	-0.0	-999	1.9831 	3.4821 	-999	-999	1.5971 	2.1887 	3.5471 	-999	2.3365 	3.0442 	-999	-999	121
14	A12c	circle	8	0.16	1	3 	 2.161719840594085 	 3 	 0.0	4.0	4.0	0	1	-1	-1	-0.0	-999	-999	1.5336 	2.4174 	-999	-999	1.7391 	2.9299 	-999	-999	2.0959 	3.3289 	-999	-999	114
