trialnum	subject	basicShape	numObjects	speed	initialDirRing0	orderCorrect	trialDurTotal	numTargets	whichIsTargetEachRing0	whichIsTargetEachRing1	whichIsTargetEachRing2	ringToQuery	Direction0	Direction1	Direction2	respAdj0	respAdj1	respAdj2	rev0_0	rev0_1	rev0_2	rev0_3	rev1_0	rev1_1	rev1_2	rev1_3	rev2_0	rev2_1	rev2_2	rev2_3	timingBlips
0	A14b	circle	8	0.4	1	3 	 2.954059725173898 	 2 	 5.0	-999.0	3.0	2	1	-1	-1	-999	-999	0.0	2.1709 	3.3575 	-999	-999	1.7929 	3.1729 	-999	-999	2.2955 	3.4953 	-999	-999	157
1	A14b	circle	8	0.74	1	3 	 2.520694854361926 	 2 	 -999.0	5.0	0.0	1	1	-1	-1	-999	0.0	-999	2.178 	2.9918 	-999	-999	2.3479 	2.8541 	-999	-999	1.978 	3.3785 	-999	-999	134
2	A14b	circle	4	0.88	-1	3 	 2.4663259799695285 	 2 	 -999.0	2.0	0.0	1	-1	1	-1	-999	-0.0	-999	2.5042 	3.4681 	-999	-999	2.1844 	3.3349 	-999	-999	2.5083 	3.5818 	-999	-999	71
3	A14b	circle	4	0.62	-1	3 	 2.624400058972723 	 2 	 2.0	-999.0	2.0	0	-1	1	-1	0.0	-999	-999	1.7276 	2.7703 	-999	-999	2.2364 	2.8304 	-999	-999	1.7278 	2.9561 	-999	-999	68
4	A14b	circle	4	1.01	1	3 	 2.720249041222201 	 3 	 2.0	1.0	3.0	2	1	-1	-1	-999	-999	0.0	1.7466 	2.8887 	-999	-999	2.052 	3.5261 	-999	-999	1.9218 	3.1672 	-999	-999	73
5	A14b	circle	8	0.4	-1	3 	 2.6176987741407385 	 3 	 2.0	5.0	7.0	2	-1	1	-1	-999	-999	0.0	2.1941 	3.2366 	-999	-999	2.4797 	3.449 	-999	-999	2.3111 	3.6288 	-999	-999	140
6	A14b	circle	8	0.91	1	3 	 2.3061344124256387 	 2 	 6.0	5.0	-999.0	0	1	-1	-1	0.0	-999	-999	2.3947 	3.3823 	-999	-999	1.7496 	2.9855 	-999	-999	2.5754 	-999	-999	-999	122
7	A14b	circle	4	0.82	1	0 	 2.790086415694857 	 3 	 1.0	0.0	1.0	2	1	-1	-1	-999	-999	-1.0	2.2692 	3.6711 	-999	-999	2.5895 	3.7953 	-999	-999	1.7495 	2.8035 	3.9743 	-999	79
8	A14b	circle	4	1.01	-1	3 	 2.696817300235938 	 3 	 1.0	2.0	0.0	2	-1	1	-1	-999	-999	0.0	2.4995 	3.8939 	-999	-999	1.8692 	2.9503 	-999	-999	1.9247 	3.2738 	-999	-999	73
9	A14b	circle	8	0.74	-1	0 	 2.9419799844193197 	 2 	 2.0	2.0	0.0	1	-1	1	-1	-999	2.0	-999	2.4359 	3.4265 	-999	-999	2.5185 	3.2003 	-999	-999	1.9112 	3.0914 	-999	-999	158
10	A14b	circle	4	1.14	-1	3 	 2.328844340530266 	 2 	 3.0	-999.0	1.0	0	-1	1	-1	0.0	-999	-999	2.3133 	3.4334 	-999	-999	2.6135 	-999	-999	-999	1.7537 	3.2233 	-999	-999	62
11	A14b	circle	8	0.28	1	3 	 2.39074050502384 	 3 	 7.0	0.0	3.0	0	1	-1	-1	-0.0	-999	-999	1.9957 	2.6898 	-999	-999	2.034 	3.1543 	-999	-999	1.7318 	2.6087 	-999	-999	127
12	A14b	circle	4	0.44	-1	3 	 2.2040097207487808 	 3 	 2.0	0.0	1.0	2	-1	1	-1	-999	-999	0.0	2.5456 	-999	-999	-999	2.2536 	3.2587 	-999	-999	2.0507 	3.3654 	-999	-999	60
13	A14b	circle	4	0.63	1	3 	 2.768858994801899 	 3 	 3.0	0.0	0.0	0	1	-1	-1	-0.0	-999	-999	2.0198 	2.9435 	-999	-999	1.9352 	2.9736 	-999	-999	2.6686 	3.9129 	-999	-999	74
14	A14b	circle	8	0.64	1	3 	 2.2023541529420556 	 3 	 0.0	5.0	1.0	2	1	-1	-1	-999	-999	-0.0	1.9889 	3.3719 	-999	-999	2.1193 	3.1461 	-999	-999	2.2656 	3.4964 	-999	-999	116
15	A14b	circle	8	0.23	-1	3 	 2.7812256444095986 	 2 	 -999.0	5.0	2.0	2	-1	1	-1	-999	-999	0.0	2.3281 	3.6033 	-999	-999	1.7826 	2.9181 	-999	-999	2.3237 	3.0328 	-999	-999	149
16	A14b	circle	4	0.62	1	3 	 2.2865764111013283 	 2 	 2.0	0.0	2.0	0	1	-1	-1	0.0	-999	-999	2.4628 	-999	-999	-999	2.28 	3.6607 	-999	-999	1.8179 	3.1814 	-999	-999	60
17	A14b	circle	8	0.91	-1	3 	 2.336157123412185 	 2 	 7.0	5.0	1.0	2	-1	1	-1	-999	-999	0.0	2.1027 	3.1031 	-999	-999	1.9933 	3.2645 	-999	-999	2.0288 	3.4858 	-999	-999	124
18	A14b	circle	4	0.25	1	3 	 2.842607357174512 	 3 	 2.0	1.0	0.0	2	1	-1	-1	-999	-999	0.0	2.2868 	3.5121 	-999	-999	1.9307 	3.139 	-999	-999	2.6639 	3.8494 	-999	-999	80
19	A14b	circle	8	0.57	1	3 	 2.8366165540023447 	 2 	 -999.0	2.0	2.0	1	1	-1	-1	-999	0.0	-999	1.7744 	2.3109 	3.5284 	-999	2.6354 	3.7657 	-999	-999	1.9218 	2.5651 	3.5736 	-999	151
20	A14b	circle	8	0.52	1	3 	 2.6385515260522907 	 3 	 5.0	7.0	1.0	0	1	-1	-1	-0.0	-999	-999	2.1618 	3.479 	-999	-999	2.0028 	2.7719 	-999	-999	1.8792 	2.6229 	3.2534 	-999	139
21	A14b	circle	8	0.4	1	3 	 2.217256529963846 	 3 	 4.0	0.0	7.0	2	1	-1	-1	-999	-999	0.0	2.4885 	-999	-999	-999	1.7816 	2.3514 	-999	-999	2.0684 	2.5933 	-999	-999	116
22	A14b	circle	8	0.4	-1	3 	 2.8997246277372826 	 2 	 6.0	4.0	3.0	0	-1	1	-1	0.0	-999	-999	2.1621 	3.2304 	-999	-999	2.3025 	3.5063 	-999	-999	2.6302 	3.4534 	-999	-999	154
23	A14b	circle	8	0.16	-1	3 	 2.445667051894354 	 3 	 7.0	6.0	7.0	2	-1	1	-1	-999	-999	0.0	1.8303 	2.363 	3.6974 	-999	2.2876 	3.602 	-999	-999	2.2324 	2.9671 	-999	-999	130
24	A14b	circle	8	0.64	-1	3 	 2.579603369546825 	 3 	 5.0	1.0	5.0	1	-1	1	-1	-999	-0.0	-999	1.8475 	3.0763 	-999	-999	2.1516 	3.3587 	-999	-999	2.1513 	2.9112 	-999	-999	136
25	A14b	circle	4	0.44	1	3 	 2.5163929346217406 	 3 	 2.0	3.0	3.0	2	1	-1	-1	-999	-999	0.0	2.4461 	3.941 	-999	-999	2.2562 	3.2334 	-999	-999	2.4897 	3.9268 	-999	-999	67
26	A14b	circle	4	0.82	-1	3 	 2.289503381281364 	 3 	 2.0	3.0	3.0	1	-1	1	-1	-999	-0.0	-999	2.3783 	3.4142 	-999	-999	1.8876 	3.0583 	-999	-999	1.8754 	2.9246 	-999	-999	63
27	A14b	circle	4	0.88	1	3 	 2.4870705958634165 	 2 	 1.0	2.0	3.0	2	1	-1	-1	-999	-999	0.0	1.7748 	2.4449 	3.7437 	-999	2.4907 	3.5367 	-999	-999	2.2892 	2.8843 	-999	-999	66
28	A14b	circle	4	0.35	1	3 	 2.8905432113417664 	 2 	 0.0	1.0	-999.0	0	1	-1	-1	0.0	-999	-999	1.7601 	2.4899 	3.6591 	-999	2.0723 	3.052 	-999	-999	1.8022 	3.1777 	-999	-999	80
