trialnum	subject	basicShape	numObjects	speed	initialDirRing0	orderCorrect	trialDurTotal	numTargets	whichIsTargetEachRing0	whichIsTargetEachRing1	whichIsTargetEachRing2	ringToQuery	Direction0	Direction1	Direction2	respAdj0	respAdj1	respAdj2	rev0_0	rev0_1	rev0_2	rev0_3	rev1_0	rev1_1	rev1_2	rev1_3	rev2_0	rev2_1	rev2_2	rev2_3	timingBlips
0	J16a	circle	4	0.52	1	0 	 2.6814443840296542 	 2 	 -999.0	2.0	0.0	1	1	-1	-1	-999	-1.0	-999	2.4788 	3.0797 	-999	-999	2.4825 	3.3017 	-999	-999	2.4551 	3.2513 	-999	-999	72
1	J16a	circle	4	0.83	-1	0 	 2.4056221213163074 	 2 	 2.0	2.0	-999.0	0	-1	1	-1	-1.0	-999	-999	2.2652 	3.5764 	-999	-999	1.9433 	2.4611 	3.232 	-999	1.7733 	2.9776 	-999	-999	66
2	J16a	circle	4	0.77	1	0 	 2.636259535261059 	 3 	 1.0	0.0	2.0	1	1	-1	-1	-999	-1.0	-999	2.5362 	3.5115 	-999	-999	1.81 	3.1654 	-999	-999	2.264 	3.1694 	-999	-999	72
3	J16a	circle	4	0.83	1	3 	 2.4509151926450863 	 2 	 0.0	2.0	2.0	2	1	-1	-1	-999	-999	-0.0	2.6873 	-999	-999	-999	2.5707 	-999	-999	-999	1.8514 	2.4076 	3.525 	-999	65
4	J16a	circle	8	0.28	1	0 	 2.301116549660094 	 2 	 7.0	-999.0	7.0	0	1	-1	-1	-2.0	-999	-999	2.676 	-999	-999	-999	1.9585 	2.8937 	-999	-999	1.7447 	2.8817 	-999	-999	122
5	J16a	circle	4	0.34	-1	0 	 2.304454048896988 	 3 	 0.0	1.0	3.0	2	-1	1	-1	-999	-999	1.0	1.8642 	2.8873 	-999	-999	2.0223 	2.7243 	-999	-999	2.0291 	3.1423 	-999	-999	62
6	J16a	circle	4	0.68	1	3 	 2.359751470060478 	 2 	 2.0	3.0	-999.0	0	1	-1	-1	-0.0	-999	-999	1.8927 	3.0188 	-999	-999	1.829 	2.9216 	-999	-999	2.144 	3.2562 	-999	-999	63
7	J16a	circle	8	0.2	-1	3 	 2.2886879407603145 	 2 	 0.0	-999.0	0.0	2	-1	1	-1	-999	-999	0.0	2.6984 	-999	-999	-999	2.4876 	-999	-999	-999	2.1501 	2.9757 	-999	-999	119
8	J16a	circle	8	0.28	1	0 	 2.938501940635003 	 3 	 1.0	2.0	7.0	0	1	-1	-1	-1.0	-999	-999	2.5491 	3.3451 	-999	-999	2.0067 	3.0653 	-999	-999	2.2527 	3.5338 	-999	-999	155
9	J16a	circle	4	0.62	-1	3 	 2.81133559865589 	 3 	 2.0	3.0	0.0	1	-1	1	-1	-999	-0.0	-999	2.4398 	3.551 	-999	-999	1.9631 	2.8407 	3.3802 	-999	2.3561 	2.9742 	-999	-999	77
10	J16a	circle	8	0.2	1	3 	 2.790929315702516 	 2 	 0.0	6.0	5.0	1	1	-1	-1	-999	0.0	-999	1.7232 	2.9438 	-999	-999	2.4184 	3.7547 	-999	-999	1.9638 	2.789 	4.2808 	-999	148
11	J16a	circle	8	0.45	1	3 	 2.808003403139338 	 3 	 1.0	1.0	2.0	2	1	-1	-1	-999	-999	0.0	2.6923 	4.0326 	-999	-999	2.1768 	3.0566 	-999	-999	2.1485 	3.5315 	-999	-999	149
12	J16a	circle	8	0.45	-1	0 	 2.7422518531317874 	 2 	 5.0	-999.0	2.0	2	-1	1	-1	-999	-999	-2.0	2.5534 	3.8505 	-999	-999	1.9099 	2.5674 	3.6696 	-999	1.9884 	2.8504 	-999	-999	146
13	J16a	circle	4	0.19	1	3 	 2.6134075886194763 	 3 	 3.0	2.0	3.0	2	1	-1	-1	-999	-999	0.0	2.6478 	3.248 	-999	-999	2.5682 	3.1903 	-999	-999	2.5752 	3.7434 	-999	-999	70
