trialnum	subject	basicShape	numObjects	speed	initialDirRing0	orderCorrect	trialDurTotal	numTargets	whichIsTargetEachRing0	whichIsTargetEachRing1	whichIsTargetEachRing2	ringToQuery	Direction0	Direction1	Direction2	respAdj0	respAdj1	respAdj2	rev0_0	rev0_1	rev0_2	rev0_3	rev1_0	rev1_1	rev1_2	rev1_3	rev2_0	rev2_1	rev2_2	rev2_3	timingBlips
0	J16b	circle	8	0.28	1	3 	 2.2656086096451684 	 2 	 0.0	5.0	-999.0	1	1	-1	-1	-999	0.0	-999	1.794 	2.931 	-999	-999	1.9611 	3.4205 	-999	-999	1.7784 	3.1826 	-999	-999	118
1	J16b	circle	8	0.36	1	3 	 2.9000283142385266 	 3 	 2.0	6.0	5.0	2	1	-1	-1	-999	-999	-0.0	2.3532 	3.8446 	-999	-999	2.2637 	3.4501 	-999	-999	2.0497 	2.8372 	3.5294 	-999	155
2	J16b	circle	4	0.36	1	3 	 2.3439235453902745 	 2 	 3.0	-999.0	3.0	2	1	-1	-1	-999	-999	0.0	2.0015 	3.296 	-999	-999	2.5591 	-999	-999	-999	1.9142 	2.8048 	-999	-999	63
3	J16b	circle	8	0.2	-1	3 	 2.453246918025442 	 2 	 0.0	-999.0	4.0	2	-1	1	-1	-999	-999	0.0	1.9005 	2.7394 	-999	-999	2.0481 	2.9102 	-999	-999	1.835 	2.6472 	-999	-999	131
4	J16b	circle	8	0.2	-1	0 	 2.993485311312794 	 3 	 6.0	3.0	3.0	0	-1	1	-1	2.0	-999	-999	2.1451 	3.0899 	3.5936 	-999	2.5767 	3.6328 	-999	-999	1.8457 	3.1228 	-999	-999	161
5	J16b	circle	8	0.2	1	3 	 2.763104002284704 	 3 	 0.0	2.0	5.0	1	1	-1	-1	-999	0.0	-999	2.3219 	3.0017 	-999	-999	2.5781 	3.3949 	-999	-999	2.1647 	2.9981 	-999	-999	148
6	J16b	circle	8	0.28	1	3 	 2.287302808046342 	 3 	 5.0	0.0	3.0	2	1	-1	-1	-999	-999	0.0	2.4316 	-999	-999	-999	1.9127 	3.1485 	-999	-999	1.7786 	2.5754 	-999	-999	120
7	J16b	circle	4	0.68	1	3 	 2.4995352927226153 	 2 	 3.0	2.0	-999.0	1	1	-1	-1	-999	-0.0	-999	2.5381 	3.3565 	-999	-999	2.6048 	-999	-999	-999	2.0627 	3.2035 	-999	-999	66
8	J16b	circle	8	0.36	-1	3 	 2.455357486373389 	 3 	 7.0	5.0	5.0	0	-1	1	-1	0.0	-999	-999	1.7148 	2.4546 	3.0235 	-999	2.5428 	3.1698 	-999	-999	2.6802 	-999	-999	-999	131
9	J16b	circle	4	0.19	1	3 	 2.8100521102381526 	 3 	 1.0	0.0	0.0	1	1	-1	-1	-999	0.0	-999	1.9141 	2.7376 	4.1279 	-999	2.2486 	3.0375 	-999	-999	2.6444 	4.0101 	-999	-999	79
10	J16b	circle	8	0.45	1	0 	 2.7426538407712155 	 2 	 7.0	4.0	-999.0	1	1	-1	-1	-999	-3.0	-999	2.6196 	3.7073 	-999	-999	2.2608 	2.9191 	-999	-999	2.1751 	2.876 	-999	-999	146
11	J16b	circle	8	0.36	1	3 	 2.881468200344898 	 2 	 0.0	-999.0	0.0	0	1	-1	-1	-0.0	-999	-999	2.0446 	3.39 	-999	-999	2.5115 	3.3736 	-999	-999	2.0761 	2.8799 	4.0019 	-999	154
12	J16b	circle	8	0.28	-1	3 	 2.321949588000109 	 2 	 5.0	5.0	0.0	2	-1	1	-1	-999	-999	-0.0	1.9909 	2.9147 	-999	-999	2.0529 	2.8746 	-999	-999	2.5136 	-999	-999	-999	123
13	J16b	circle	4	0.36	-1	3 	 2.58656582917379 	 2 	 3.0	0.0	2.0	2	-1	1	-1	-999	-999	0.0	1.7651 	2.3903 	3.5926 	-999	2.6331 	3.7581 	-999	-999	1.8801 	2.6522 	3.7361 	-999	68
14	J16b	circle	8	0.45	1	3 	 2.4801718539656616 	 3 	 7.0	4.0	6.0	2	1	-1	-1	-999	-999	0.0	2.1539 	2.9862 	-999	-999	2.68 	-999	-999	-999	2.184 	3.5603 	-999	-999	132
15	J16b	circle	4	0.52	1	0 	 2.42583129495121 	 2 	 -999.0	3.0	2.0	2	1	-1	-1	-999	-999	-2.0	2.5524 	-999	-999	-999	2.6129 	-999	-999	-999	2.4147 	3.8379 	-999	-999	67
16	J16b	circle	4	0.34	-1	3 	 2.95400990848743 	 3 	 0.0	0.0	2.0	2	-1	1	-1	-999	-999	0.0	1.9799 	2.8044 	3.9698 	-999	1.8032 	3.021 	3.8413 	-999	2.4244 	3.6052 	-999	-999	83
17	J16b	circle	8	0.45	-1	3 	 2.5291376762123456 	 2 	 7.0	5.0	1.0	2	-1	1	-1	-999	-999	-0.0	2.4102 	3.1094 	-999	-999	1.8859 	2.5042 	3.8025 	-999	1.9347 	2.4499 	3.0411 	-999	134
18	J16b	circle	4	0.77	1	3 	 2.769407034567427 	 3 	 2.0	3.0	2.0	1	1	-1	-1	-999	0.0	-999	1.8869 	3.2579 	-999	-999	2.1067 	3.4684 	-999	-999	1.9963 	3.0905 	-999	-999	76
19	J16b	circle	8	0.11	-1	3 	 2.613018670448439 	 3 	 1.0	3.0	4.0	0	-1	1	-1	-0.0	-999	-999	1.8059 	2.408 	3.3722 	-999	2.203 	3.1126 	-999	-999	2.3993 	3.1393 	-999	-999	138
20	J16b	circle	4	0.21	-1	3 	 2.5633387038191544 	 2 	 3.0	1.0	-999.0	0	-1	1	-1	0.0	-999	-999	1.8926 	3.3682 	-999	-999	1.7769 	2.6401 	3.5298 	-999	2.292 	3.6488 	-999	-999	69
21	J16b	circle	8	0.2	1	3 	 2.327722699844913 	 2 	 1.0	0.0	4.0	0	1	-1	-1	0.0	-999	-999	2.4406 	-999	-999	-999	2.1046 	3.2469 	-999	-999	2.09 	2.6543 	-999	-999	123
22	J16b	circle	4	0.83	-1	3 	 2.9227264348476503 	 2 	 3.0	3.0	-999.0	1	-1	1	-1	-999	0.0	-999	2.4849 	3.1479 	-999	-999	2.2765 	2.8501 	3.3626 	-999	1.9013 	2.4118 	3.8711 	-999	82
23	J16b	circle	8	0.11	1	3 	 2.4591730164987977 	 3 	 7.0	2.0	7.0	0	1	-1	-1	-0.0	-999	-999	1.929 	3.1768 	-999	-999	1.7723 	2.3181 	3.4038 	-999	2.4404 	3.8659 	-999	-999	129
24	J16b	circle	4	0.83	1	3 	 2.7854040754906992 	 2 	 2.0	3.0	-999.0	1	1	-1	-1	-999	0.0	-999	1.7682 	2.539 	3.8133 	-999	2.2099 	3.2235 	-999	-999	1.8448 	2.9082 	-999	-999	79
25	J16b	circle	8	0.45	-1	3 	 2.999065127264805 	 3 	 4.0	4.0	2.0	1	-1	1	-1	-999	-0.0	-999	2.6615 	4.061 	-999	-999	2.5872 	3.2928 	-999	-999	1.8281 	2.7723 	4.0527 	-999	160
26	J16b	circle	4	0.21	1	3 	 2.226353344668459 	 2 	 3.0	1.0	1.0	1	1	-1	-1	-999	-0.0	-999	2.4152 	-999	-999	-999	2.5394 	-999	-999	-999	2.2843 	2.9787 	-999	-999	63
27	J16b	circle	8	0.11	1	3 	 2.331860280579991 	 2 	 -999.0	3.0	6.0	1	1	-1	-1	-999	-0.0	-999	2.1822 	2.9419 	-999	-999	2.3395 	2.9904 	-999	-999	2.0381 	2.6283 	-999	-999	122
28	J16b	circle	4	0.48	-1	0 	 2.483176735509349 	 3 	 2.0	1.0	3.0	2	-1	1	-1	-999	-999	1.0	2.4279 	3.604 	-999	-999	2.6827 	-999	-999	-999	2.1817 	2.78 	-999	-999	72
29	J16b	circle	4	0.62	1	0 	 2.6500088623551807 	 3 	 2.0	1.0	2.0	1	1	-1	-1	-999	-1.0	-999	2.3124 	3.6278 	-999	-999	2.3516 	3.8184 	-999	-999	2.6096 	3.8345 	-999	-999	70
30	J16b	circle	8	0.36	-1	3 	 2.5046831396533005 	 2 	 0.0	0.0	6.0	1	-1	1	-1	-999	-0.0	-999	1.8122 	2.5442 	3.3232 	-999	2.4869 	3.4207 	-999	-999	2.5877 	3.2905 	-999	-999	130
31	J16b	circle	4	0.68	-1	0 	 2.5718854376014226 	 2 	 1.0	2.0	1.0	0	-1	1	-1	-1.0	-999	-999	1.8649 	3.0838 	-999	-999	2.094 	2.7848 	-999	-999	2.0097 	3.4206 	-999	-999	69
32	J16b	circle	4	0.19	-1	3 	 2.764474331609663 	 3 	 2.0	0.0	1.0	2	-1	1	-1	-999	-999	0.0	2.6839 	4.0098 	-999	-999	1.9124 	2.5179 	3.1558 	-999	2.0477 	3.278 	-999	-999	74
33	J16b	circle	4	0.52	-1	3 	 2.4097883176070267 	 2 	 -999.0	1.0	0.0	1	-1	1	-1	-999	-0.0	-999	1.7267 	3.177 	-999	-999	2.21 	3.1291 	-999	-999	2.1093 	3.2437 	-999	-999	65
34	J16b	circle	8	0.28	-1	3 	 2.519089959069328 	 3 	 5.0	5.0	5.0	2	-1	1	-1	-999	-999	0.0	2.1777 	2.7371 	-999	-999	2.0039 	3.0112 	-999	-999	2.1252 	2.8031 	-999	-999	133
35	J16b	circle	8	0.11	-1	3 	 2.6903937273412843 	 2 	 1.0	0.0	6.0	1	-1	1	-1	-999	-0.0	-999	1.8617 	3.1315 	-999	-999	2.4819 	3.7466 	-999	-999	1.9048 	3.148 	-999	-999	144
36	J16b	circle	4	0.62	-1	0 	 2.3242025992769 	 3 	 1.0	3.0	0.0	1	-1	1	-1	-999	-1.0	-999	2.6149 	-999	-999	-999	2.6157 	-999	-999	-999	2.6333 	-999	-999	-999	62
37	J16b	circle	4	0.34	1	3 	 2.424842312975225 	 3 	 2.0	2.0	2.0	0	1	-1	-1	0.0	-999	-999	2.6066 	-999	-999	-999	2.1941 	3.4141 	-999	-999	2.6624 	-999	-999	-999	65
38	J16b	circle	4	0.48	1	3 	 2.6580316515263283 	 3 	 1.0	3.0	1.0	2	1	-1	-1	-999	-999	0.0	2.6404 	4.1316 	-999	-999	2.6307 	3.7982 	-999	-999	2.5055 	3.93 	-999	-999	75
39	J16b	circle	4	0.77	-1	3 	 2.736297870075866 	 3 	 1.0	3.0	1.0	1	-1	1	-1	-999	-0.0	-999	2.3759 	3.7765 	-999	-999	2.5222 	3.7735 	-999	-999	1.7058 	2.3285 	3.3036 	-999	73
