trialnum	subject	basicShape	numObjects	speed	initialDirRing0	orderCorrect	trialDurTotal	numTargets	whichIsTargetEachRing0	whichIsTargetEachRing1	whichIsTargetEachRing2	ringToQuery	Direction0	Direction1	Direction2	respAdj0	respAdj1	respAdj2	rev0_0	rev0_1	rev0_2	rev0_3	rev1_0	rev1_1	rev1_2	rev1_3	rev2_0	rev2_1	rev2_2	rev2_3	timingBlips
0	J16c	circle	8	0.11	-1	0 	 2.798134615030518 	 2 	 6.0	3.0	-999.0	1	-1	1	-1	-999	-1.0	-999	2.6499 	3.8975 	-999	-999	2.5386 	3.2723 	-999	-999	1.9716 	2.6785 	4.1601 	-999	144
1	J16c	circle	4	0.19	-1	0 	 2.4857140449903725 	 3 	 3.0	1.0	1.0	0	-1	1	-1	-2.0	-999	-999	2.4057 	3.3977 	-999	-999	2.1592 	3.3561 	-999	-999	2.3706 	3.1813 	-999	-999	77
2	J16c	circle	4	0.34	-1	0 	 2.5501491174334237 	 3 	 0.0	2.0	2.0	0	-1	1	-1	-1.0	-999	-999	2.3174 	3.5819 	-999	-999	2.243 	3.6213 	-999	-999	2.6657 	-999	-999	-999	81
3	J16c	circle	4	0.52	-1	3 	 2.2145139168662666 	 2 	 -999.0	3.0	3.0	1	-1	1	-1	-999	-0.0	-999	1.8378 	2.8181 	-999	-999	1.7766 	3.0375 	-999	-999	1.7942 	2.9253 	-999	-999	77
4	J16c	circle	4	0.36	1	3 	 2.2269898282790455 	 2 	 2.0	0.0	-999.0	0	1	-1	-1	-0.0	-999	-999	1.9678 	2.6823 	-999	-999	2.2647 	2.9928 	-999	-999	2.1681 	2.9202 	-999	-999	73
5	J16c	circle	8	0.36	1	0 	 2.7231681791043396 	 2 	 2.0	7.0	-999.0	0	1	-1	-1	1.0	-999	-999	2.4656 	3.4998 	-999	-999	2.0798 	2.9707 	-999	-999	2.2638 	3.4226 	-999	-999	146
6	J16c	circle	4	0.34	1	3 	 2.5599633714438066 	 3 	 1.0	2.0	3.0	2	1	-1	-1	-999	-999	-0.0	2.2214 	3.4552 	-999	-999	2.2257 	3.2923 	-999	-999	1.7725 	2.275 	2.789 	-999	84
7	J16c	circle	8	0.11	-1	3 	 2.648394175887026 	 3 	 6.0	2.0	3.0	2	-1	1	-1	-999	-999	0.0	2.3202 	3.4607 	-999	-999	2.3462 	2.9341 	-999	-999	1.9783 	2.8758 	-999	-999	143
8	J16c	circle	4	0.68	-1	0 	 2.640727216660931 	 2 	 2.0	-999.0	1.0	0	-1	1	-1	1.0	-999	-999	2.594 	4.0406 	-999	-999	1.8388 	2.9957 	-999	-999	1.9289 	2.6697 	4.1387 	-999	82
9	J16c	circle	8	0.45	-1	0 	 2.42749634793759 	 2 	 7.0	-999.0	2.0	2	-1	1	-1	-999	-999	1.0	1.705 	2.9927 	-999	-999	2.0245 	3.1982 	-999	-999	2.0422 	2.5716 	-999	-999	129
10	J16c	circle	4	0.21	1	0 	 2.571117855184983 	 2 	 0.0	-999.0	0.0	0	1	-1	-1	2.0	-999	-999	1.8706 	2.397 	3.1601 	-999	1.8742 	3.0674 	-999	-999	1.9496 	2.5369 	3.6888 	-999	78
11	J16c	circle	4	0.62	-1	3 	 2.984063600808548 	 3 	 3.0	2.0	3.0	0	-1	1	-1	0.0	-999	-999	2.321 	3.0706 	4.0986 	-999	2.5302 	3.0428 	3.9405 	-999	2.6998 	4.0046 	-999	-999	91
12	J16c	circle	4	0.36	-1	3 	 2.7984367301610016 	 2 	 2.0	0.0	0.0	2	-1	1	-1	-999	-999	0.0	2.2669 	2.9348 	-999	-999	2.6077 	3.3844 	-999	-999	2.1256 	3.4484 	-999	-999	87
13	J16c	circle	8	0.28	1	3 	 2.53101088461582 	 3 	 0.0	6.0	2.0	1	1	-1	-1	-999	0.0	-999	2.4209 	3.8363 	-999	-999	2.2114 	3.489 	-999	-999	2.0152 	2.8195 	-999	-999	136
14	J16c	circle	8	0.45	-1	3 	 2.549333499254045 	 3 	 3.0	5.0	5.0	0	-1	1	-1	0.0	-999	-999	2.4595 	3.2412 	-999	-999	2.5678 	3.3888 	-999	-999	2.2673 	3.4565 	-999	-999	137
15	J16c	circle	4	0.19	1	3 	 2.222080890483252 	 3 	 1.0	3.0	0.0	0	1	-1	-1	-0.0	-999	-999	2.0129 	3.2714 	-999	-999	2.4303 	-999	-999	-999	1.9009 	2.8669 	-999	-999	71
16	J16c	circle	4	0.68	1	0 	 2.725188683347671 	 2 	 2.0	1.0	3.0	2	1	-1	-1	-999	-999	-2.0	2.422 	3.1812 	-999	-999	2.1366 	3.152 	-999	-999	2.5978 	3.707 	-999	-999	82
17	J16c	circle	8	0.28	-1	3 	 2.9063661373756777 	 2 	 -999.0	6.0	3.0	1	-1	1	-1	-999	-0.0	-999	1.9 	2.4707 	3.6351 	-999	2.6156 	3.2452 	-999	-999	1.9066 	2.5208 	3.6015 	-999	157
18	J16c	circle	4	0.77	-1	0 	 2.9009414639309807 	 3 	 0.0	3.0	1.0	1	-1	1	-1	-999	-1.0	-999	2.5797 	3.273 	-999	-999	2.5808 	3.8069 	-999	-999	1.9531 	2.8162 	3.5951 	-999	96
19	J16c	circle	8	0.11	1	3 	 2.6268635704560093 	 2 	 6.0	4.0	2.0	1	1	-1	-1	-999	0.0	-999	1.9817 	2.5934 	3.556 	-999	2.1165 	3.3162 	-999	-999	2.1429 	3.013 	-999	-999	140
20	J16c	circle	8	0.45	1	3 	 2.3544838773340953 	 3 	 0.0	4.0	1.0	2	1	-1	-1	-999	-999	0.0	2.0928 	2.9082 	-999	-999	2.3426 	3.7858 	-999	-999	1.9984 	2.5709 	-999	-999	127
21	J16c	circle	4	0.21	-1	3 	 2.9486959384465017 	 2 	 0.0	-999.0	2.0	2	-1	1	-1	-999	-999	-0.0	2.3209 	3.2159 	-999	-999	1.928 	3.1605 	-999	-999	2.0396 	2.7588 	3.4223 	-999	92
22	J16c	circle	8	0.2	-1	3 	 2.223221468798055 	 2 	 3.0	-999.0	6.0	0	-1	1	-1	0.0	-999	-999	2.0065 	3.3309 	-999	-999	2.1525 	3.1747 	-999	-999	1.9363 	2.6865 	-999	-999	118
23	J16c	circle	4	0.83	-1	3 	 2.6346301742813303 	 2 	 2.0	1.0	-999.0	1	-1	1	-1	-999	-0.0	-999	2.247 	3.3801 	-999	-999	2.0139 	2.9438 	-999	-999	2.6612 	3.2886 	-999	-999	85
24	J16c	circle	8	0.36	-1	0 	 2.8740801730963743 	 2 	 2.0	1.0	7.0	2	-1	1	-1	-999	-999	-1.0	2.057 	2.8796 	3.7418 	-999	1.7284 	2.4231 	3.7052 	-999	1.9163 	2.5287 	3.1267 	-999	156
25	J16c	circle	8	0.2	1	3 	 2.293296383103698 	 3 	 2.0	1.0	3.0	0	1	-1	-1	-0.0	-999	-999	1.8842 	3.0289 	-999	-999	1.7575 	2.7923 	-999	-999	1.7935 	2.5412 	-999	-999	123
26	J16c	circle	4	0.77	1	0 	 2.2596940355625303 	 3 	 2.0	1.0	2.0	1	1	-1	-1	-999	-1.0	-999	1.8251 	2.4863 	-999	-999	1.7894 	2.5415 	-999	-999	1.8025 	2.8007 	-999	-999	69
27	J16c	circle	8	0.2	1	3 	 2.538079179221938 	 2 	 2.0	-999.0	3.0	0	1	-1	-1	0.0	-999	-999	2.6517 	-999	-999	-999	2.4507 	3.0789 	-999	-999	2.4517 	3.0706 	-999	-999	136
28	J16c	circle	8	0.11	1	3 	 2.604910723765688 	 3 	 7.0	0.0	6.0	2	1	-1	-1	-999	-999	0.0	2.477 	3.6833 	-999	-999	2.4792 	3.338 	-999	-999	2.0285 	3.0368 	-999	-999	140
29	J16c	circle	8	0.36	1	3 	 2.3454978503459434 	 3 	 4.0	7.0	3.0	2	1	-1	-1	-999	-999	0.0	1.7439 	2.4546 	-999	-999	1.9545 	2.858 	-999	-999	1.9257 	2.879 	-999	-999	124
30	J16c	circle	4	0.48	1	3 	 2.940759963897312 	 3 	 1.0	0.0	1.0	0	1	-1	-1	-0.0	-999	-999	2.4108 	3.6883 	-999	-999	2.3746 	3.5254 	-999	-999	2.6253 	3.1765 	-999	-999	96
31	J16c	circle	4	0.83	1	3 	 2.9016799706164687 	 2 	 1.0	1.0	-999.0	0	1	-1	-1	-0.0	-999	-999	2.2716 	3.4639 	-999	-999	2.1069 	2.6433 	4.0336 	-999	2.528 	3.198 	-999	-999	98
32	J16c	circle	4	0.48	-1	3 	 2.5602353603760286 	 3 	 3.0	3.0	3.0	1	-1	1	-1	-999	-0.0	-999	1.9897 	3.455 	-999	-999	1.8814 	2.9142 	-999	-999	1.7479 	2.89 	-999	-999	82
33	J16c	circle	8	0.28	1	3 	 2.8343355528169574 	 2 	 1.0	6.0	0.0	0	1	-1	-1	-0.0	-999	-999	2.4197 	3.3699 	-999	-999	2.5242 	3.3276 	-999	-999	2.2134 	3.1519 	-999	-999	153
34	J16c	circle	8	0.45	1	3 	 2.592928156717752 	 2 	 7.0	-999.0	4.0	2	1	-1	-1	-999	-999	0.0	1.7036 	2.2896 	2.9901 	-999	2.6935 	-999	-999	-999	2.4842 	3.0186 	-999	-999	140
35	J16c	circle	4	0.52	1	0 	 2.7353738926536972 	 2 	 2.0	3.0	3.0	0	1	-1	-1	-1.0	-999	-999	2.1025 	2.785 	3.3141 	-999	2.3146 	3.5598 	-999	-999	2.2432 	3.5345 	-999	-999	93
36	J16c	circle	8	0.36	-1	3 	 2.8406875411762607 	 3 	 6.0	5.0	3.0	1	-1	1	-1	-999	-0.0	-999	2.6937 	3.9596 	-999	-999	2.4658 	3.7615 	-999	-999	1.7976 	3.2051 	-999	-999	151
37	J16c	circle	8	0.2	-1	3 	 2.9390040358963465 	 3 	 3.0	3.0	0.0	0	-1	1	-1	-0.0	-999	-999	1.8333 	2.4742 	3.9035 	-999	2.4288 	3.8817 	-999	-999	1.7343 	2.3681 	3.6526 	-999	157
38	J16c	circle	4	0.62	1	3 	 2.7949257354280843 	 3 	 1.0	3.0	1.0	0	1	-1	-1	-0.0	-999	-999	2.5169 	3.4088 	-999	-999	2.3418 	3.6183 	-999	-999	1.8108 	2.5422 	3.6549 	-999	76
39	J16c	circle	8	0.28	-1	3 	 2.828717083491239 	 3 	 3.0	3.0	1.0	2	-1	1	-1	-999	-999	0.0	2.1723 	3.3654 	-999	-999	1.9458 	2.4521 	3.5735 	-999	2.1064 	2.8871 	3.4332 	-999	148
40	J16c	circle	4	0.68	1	3 	 2.872368363158494 	 2 	 0.0	1.0	2.0	0	1	-1	-1	-0.0	-999	-999	1.9226 	3.0465 	-999	-999	2.1413 	3.6333 	-999	-999	2.3416 	3.671 	-999	-999	93
41	J16c	circle	4	0.34	1	3 	 2.270076593999957 	 3 	 0.0	2.0	1.0	0	1	-1	-1	-0.0	-999	-999	2.1114 	2.8325 	-999	-999	1.7158 	2.6274 	-999	-999	1.921 	2.769 	-999	-999	73
42	J16c	circle	8	0.45	1	3 	 2.287845783761669 	 3 	 7.0	6.0	6.0	0	1	-1	-1	-0.0	-999	-999	2.2208 	3.4467 	-999	-999	2.5062 	-999	-999	-999	2.0391 	3.0258 	-999	-999	121
43	J16c	circle	4	0.19	-1	3 	 2.2363719345020048 	 3 	 0.0	2.0	2.0	1	-1	1	-1	-999	-0.0	-999	2.3159 	3.6771 	-999	-999	1.8068 	3.1817 	-999	-999	2.5759 	-999	-999	-999	58
44	J16c	circle	8	0.36	1	3 	 2.8838038589412527 	 2 	 0.0	5.0	7.0	0	1	-1	-1	-0.0	-999	-999	2.6922 	3.4916 	-999	-999	2.4846 	3.7824 	-999	-999	1.7508 	3.1112 	-999	-999	154
45	J16c	circle	8	0.45	-1	3 	 2.957292488330758 	 2 	 5.0	0.0	4.0	0	-1	1	-1	0.0	-999	-999	2.1654 	3.2261 	-999	-999	2.47 	3.143 	-999	-999	2.2608 	3.0827 	-999	-999	159
46	J16c	circle	8	0.2	1	3 	 2.817934188593135 	 3 	 4.0	0.0	3.0	0	1	-1	-1	-0.0	-999	-999	2.3729 	3.1794 	-999	-999	2.515 	3.081 	-999	-999	2.6021 	3.389 	-999	-999	150
47	J16c	circle	8	0.28	-1	3 	 2.5140136103342745 	 3 	 0.0	5.0	3.0	2	-1	1	-1	-999	-999	0.0	2.0138 	2.7756 	-999	-999	2.1578 	3.095 	-999	-999	1.7808 	2.5808 	3.2725 	-999	133
48	J16c	circle	8	0.28	1	3 	 2.5468471567270896 	 3 	 1.0	3.0	7.0	1	1	-1	-1	-999	0.0	-999	1.7005 	2.5906 	3.2421 	-999	2.1729 	3.4711 	-999	-999	1.8649 	2.76 	-999	-999	135
49	J16c	circle	8	0.45	1	3 	 2.995283145704351 	 2 	 5.0	4.0	3.0	1	1	-1	-1	-999	0.0	-999	2.5835 	3.3048 	-999	-999	2.3152 	3.6467 	-999	-999	2.5562 	3.2969 	-999	-999	161
