trialnum	subject	basicShape	numObjects	speed	initialDirRing0	orderCorrect	trialDurTotal	numTargets	whichIsTargetEachRing0	whichIsTargetEachRing1	whichIsTargetEachRing2	ringToQuery	Direction0	Direction1	Direction2	respAdj0	respAdj1	respAdj2	rev0_0	rev0_1	rev0_2	rev0_3	rev1_0	rev1_1	rev1_2	rev1_3	rev2_0	rev2_1	rev2_2	rev2_3	timingBlips
0	M13a	circle	8	0.51	1	0 	 2.5717102097281 	 3 	 2.0	4.0	7.0	1	1	-1	-1	-999	2.0	-999	2.1549 	3.3943 	-999	-999	2.1945 	2.8166 	-999	-999	2.0926 	2.7968 	-999	-999	137
1	M13a	circle	4	0.61	1	3 	 2.480732616781163 	 3 	 1.0	2.0	2.0	0	1	-1	-1	-0.0	-999	-999	1.789 	2.513 	3.9594 	-999	2.1848 	3.0464 	-999	-999	1.9447 	3.2154 	-999	-999	75
2	M13a	circle	8	0.22	1	3 	 2.9153228327419347 	 3 	 0.0	1.0	4.0	1	1	-1	-1	-999	-0.0	-999	1.8454 	2.8701 	4.1239 	-999	1.7846 	2.6526 	3.5122 	-999	1.7592 	2.5097 	3.5814 	-999	158
3	M13a	circle	4	0.75	-1	0 	 2.947665688245191 	 3 	 3.0	0.0	3.0	2	-1	1	-1	-999	-999	2.0	1.9937 	2.6503 	3.6556 	-999	2.4517 	3.8093 	-999	-999	1.8642 	2.6776 	3.4158 	-999	90
4	M13a	circle	8	0.13	1	3 	 2.8057074916329388 	 3 	 5.0	4.0	1.0	1	1	-1	-1	-999	0.0	-999	2.1609 	3.4564 	-999	-999	2.3003 	3.0308 	-999	-999	2.2979 	3.1257 	-999	-999	146
5	M13a	circle	4	0.77	1	0 	 2.3759492822348105 	 2 	 3.0	-999.0	0.0	2	1	-1	-1	-999	-999	1.0	2.364 	2.9383 	-999	-999	2.3703 	3.5983 	-999	-999	1.8951 	3.1239 	-999	-999	63
6	M13a	circle	4	0.48	-1	3 	 2.791167489786956 	 2 	 0.0	-999.0	0.0	0	-1	1	-1	0.0	-999	-999	2.6622 	3.6086 	-999	-999	2.6273 	3.5871 	-999	-999	2.2322 	3.3118 	-999	-999	83
7	M13a	circle	8	0.32	-1	0 	 2.24972012277487 	 2 	 -999.0	1.0	4.0	2	-1	1	-1	-999	-999	1.0	1.7605 	3.1332 	-999	-999	2.2621 	3.5214 	-999	-999	1.8142 	2.7426 	-999	-999	120
8	M13a	circle	8	0.45	1	3 	 2.45466927863637 	 2 	 1.0	-999.0	0.0	0	1	-1	-1	-0.0	-999	-999	2.1856 	2.7663 	-999	-999	2.1543 	3.3514 	-999	-999	2.5349 	3.9415 	-999	-999	131
9	M13a	circle	8	0.32	-1	0 	 2.4868175766425695 	 3 	 0.0	4.0	2.0	2	-1	1	-1	-999	-999	3.0	2.361 	3.6123 	-999	-999	2.1025 	2.7837 	-999	-999	2.2608 	3.0844 	-999	-999	133
