trialnum	subject	basicShape	numObjects	speed	initialDirRing0	orderCorrect	trialDurTotal	numTargets	whichIsTargetEachRing0	whichIsTargetEachRing1	whichIsTargetEachRing2	ringToQuery	Direction0	Direction1	Direction2	respAdj0	respAdj1	respAdj2	rev0_0	rev0_1	rev0_2	rev0_3	rev1_0	rev1_1	rev1_2	rev1_3	rev2_0	rev2_1	rev2_2	rev2_3	timingBlips
0	M13c	circle	4	0.33	-1	0 	 2.6546354153471787 	 3 	 2.0	1.0	2.0	0	-1	1	-1	-1.0	-999	-999	1.8109 	2.5287 	3.7021 	-999	1.7728 	2.9288 	-999	-999	2.3132 	3.0079 	-999	-999	74
1	M13c	circle	4	0.19	1	3 	 2.2785437033251217 	 3 	 0.0	2.0	0.0	1	1	-1	-1	-999	0.0	-999	2.5143 	-999	-999	-999	1.8934 	2.5318 	-999	-999	2.283 	3.2966 	-999	-999	63
2	M13c	circle	8	0.32	-1	0 	 2.523442543727512 	 2 	 -999.0	4.0	6.0	1	-1	1	-1	-999	-2.0	-999	2.641 	-999	-999	-999	2.6094 	3.8211 	-999	-999	2.102 	3.0386 	-999	-999	135
3	M13c	circle	8	0.18	-1	3 	 2.435033761602647 	 2 	 -999.0	1.0	7.0	1	-1	1	-1	-999	-0.0	-999	1.9866 	2.8196 	-999	-999	2.3032 	3.388 	-999	-999	2.3117 	3.1894 	-999	-999	131
4	M13c	circle	4	0.77	1	3 	 2.480164489452379 	 2 	 3.0	3.0	-999.0	0	1	-1	-1	-0.0	-999	-999	1.8712 	3.2077 	-999	-999	2.029 	2.6834 	-999	-999	2.4667 	3.4455 	-999	-999	70
5	M13c	circle	8	0.59	-1	3 	 2.3704921756065644 	 2 	 3.0	-999.0	4.0	2	-1	1	-1	-999	-999	0.0	2.302 	2.8089 	-999	-999	2.5909 	-999	-999	-999	2.3572 	3.4755 	-999	-999	127
6	M13c	circle	4	0.62	1	3 	 2.3036553732628327 	 2 	 -999.0	2.0	0.0	1	1	-1	-1	-999	0.0	-999	2.6324 	-999	-999	-999	1.8591 	3.1291 	-999	-999	2.0847 	2.6971 	-999	-999	62
7	M13c	circle	8	0.72	1	0 	 2.498409193848227 	 2 	 -999.0	4.0	7.0	1	1	-1	-1	-999	-1.0	-999	2.4463 	3.4919 	-999	-999	2.6074 	-999	-999	-999	2.0752 	3.1389 	-999	-999	132
8	M13c	circle	4	0.34	-1	3 	 2.9946862139432966 	 2 	 -999.0	0.0	3.0	1	-1	1	-1	-999	-0.0	-999	2.2304 	3.6323 	-999	-999	2.4615 	3.4419 	-999	-999	1.9603 	3.0756 	4.1759 	-999	82
9	M13c	circle	4	0.47	-1	0 	 2.285967624738148 	 3 	 2.0	3.0	0.0	0	-1	1	-1	1.0	-999	-999	2.1926 	3.1517 	-999	-999	1.9211 	3.3697 	-999	-999	2.5879 	-999	-999	-999	61
10	M13c	circle	4	0.47	1	3 	 2.373515508798255 	 3 	 0.0	3.0	2.0	0	1	-1	-1	0.0	-999	-999	2.4465 	3.2047 	-999	-999	2.5134 	-999	-999	-999	2.2827 	2.8579 	-999	-999	64
11	M13c	circle	8	0.32	-1	0 	 2.993127751987599 	 3 	 0.0	2.0	4.0	2	-1	1	-1	-999	-999	1.0	2.1983 	3.6164 	-999	-999	2.2054 	2.8461 	4.1483 	-999	2.0866 	3.3987 	-999	-999	162
12	M13c	circle	8	0.13	-1	3 	 2.2045793984400075 	 3 	 3.0	2.0	3.0	0	-1	1	-1	0.0	-999	-999	1.7105 	2.6016 	-999	-999	1.7941 	2.4196 	-999	-999	2.3001 	3.5132 	-999	-999	116
13	M13c	circle	8	0.72	-1	0 	 2.8089323468277523 	 2 	 7.0	4.0	5.0	0	-1	1	-1	-1.0	-999	-999	1.9392 	2.6712 	3.3871 	-999	2.1275 	2.8994 	4.0422 	-999	2.0557 	3.3026 	-999	-999	152
14	M13c	circle	4	0.61	1	0 	 2.569456324974661 	 3 	 1.0	0.0	2.0	1	1	-1	-1	-999	1.0	-999	2.658 	3.1848 	-999	-999	2.1324 	2.9042 	-999	-999	2.3313 	3.3956 	-999	-999	70
15	M13c	circle	8	0.18	1	3 	 2.719930686746674 	 2 	 1.0	1.0	7.0	0	1	-1	-1	-0.0	-999	-999	2.364 	3.525 	-999	-999	2.14 	3.0364 	-999	-999	2.3283 	3.3166 	-999	-999	145
16	M13c	circle	4	0.75	1	3 	 2.8516042999715583 	 3 	 1.0	2.0	2.0	1	1	-1	-1	-999	0.0	-999	2.6761 	4.1326 	-999	-999	2.1562 	2.8977 	4.0881 	-999	2.1202 	2.7464 	3.6878 	-999	78
17	M13c	circle	4	0.61	-1	3 	 2.4100189550859294 	 3 	 0.0	1.0	2.0	1	-1	1	-1	-999	-0.0	-999	2.3675 	2.9871 	-999	-999	2.1408 	3.3571 	-999	-999	2.6765 	-999	-999	-999	66
18	M13c	circle	4	0.48	-1	0 	 2.4661230015678126 	 2 	 0.0	3.0	-999.0	0	-1	1	-1	2.0	-999	-999	2.0993 	3.0258 	-999	-999	2.6266 	-999	-999	-999	2.6546 	-999	-999	-999	68
19	M13c	circle	4	0.19	-1	3 	 2.8897497393266804 	 3 	 0.0	3.0	3.0	0	-1	1	-1	0.0	-999	-999	2.5422 	3.2399 	-999	-999	2.2269 	2.8197 	4.1573 	-999	2.2345 	3.7026 	-999	-999	79
20	M13c	circle	4	0.34	1	3 	 2.2698519640377195 	 2 	 1.0	1.0	3.0	1	1	-1	-1	-999	0.0	-999	2.3713 	-999	-999	-999	1.9309 	3.235 	-999	-999	1.857 	2.5578 	-999	-999	62
21	M13c	circle	8	0.51	-1	3 	 2.417271182577802 	 3 	 3.0	6.0	5.0	1	-1	1	-1	-999	-0.0	-999	2.5378 	-999	-999	-999	1.8121 	2.9609 	-999	-999	2.5507 	-999	-999	-999	129
